Dir,Bed,Bath,Mts,Precio,geo,Cluster
"Urbanizacion Valle Vergelito, Llojeta, La Paz, Bolivia",16,12,1300,580000,POINT (-68.2917793 -16.559659),-1
"Auqisamaña, La Paz, Bolivia",4,6,670,980000,POINT (-68.0731613 -16.5524759),-1
"Paripampa, La Paz, Bolivia",3,4,250,260000,POINT (-69.0010604 -15.5448056),0
"Umamanta fase 2, Mallasa, La Paz, Bolivia",4,4,360,355000,POINT (-68.0712032 -16.6122848),0
"Los Geranios, La fFlorida, La Paz, Bolivia",5,5,478,860000,POINT (-68.1591581 -16.5783751),-1
"Umamanta , Mallasa, La Paz, Bolivia",4,5,350,355000,POINT (-68.0712032 -16.6122848),0
"Las Retamas, Seguencoma, La Paz, Bolivia",3,5,226,250000,POINT (-68.0717097 -16.5427782),0
"Condominio Enmanuel, Lomas de Achumani, La Paz, Bolivia",4,3,520,590000,POINT (-68.1514231 -16.5027495),-1
"Sequoia, La Paz, Bolivia",4,5,600,450000,POINT (-68.1119722 -16.5561464),-1
"San Jorge, La Paz, Bolivia",15,8,905,1500000,POINT (-67.4203538 -16.5073793),-1
"Calle Claudio Sanjines, Miraflores, La Paz, Bolivia",6,3,348,335000,POINT (-68.1211359 -16.5058081),-1
"Condominio Esmeralda, La Paz, Bolivia",3,3,151.2,160800,POINT (-68.0721243 -16.5524357),0
